type,player,start_frame,end_frame,punishable,start_time,end_time
whiff_punish,p1,10,41,False,0.16653915122534368,0.6828105200239092
whiff_punish,p1,42,73,False,0.6994644351464435,1.215735803945009
whiff_punish,p1,74,105,False,1.2323897190675432,1.7486610878661089
whiff_punish,p2,430,461,False,7.161183502689779,7.677454871488345
whiff_punish,p1,667,857,True,11.108161386730425,14.272405260011954
whiff_punish,p1,863,965,False,14.37232875074716,16.071028093245666
whiff_punish,p1,970,1014,False,16.154297668858337,16.88706993424985
whiff_punish,p1,1015,1046,False,16.903723849372383,17.41999521817095
whiff_punish,p1,1047,1088,False,17.436649133293486,18.119459653317392
whiff_punish,p1,1089,1120,False,18.136113568439928,18.652384937238494
whiff_punish,p1,1630,1661,False,27.14588164973102,27.662153018529587
